Code,Name,20201,20202,20203,20211,20212,20213,20221,20222,20223,20231,20232,20233,20241,20242,20243,20251,20252,20253
CHE,Chemical Engineering,Y ENGV,Y ENGV,Y ENGV,Y ENGV,Y ENGV,Y ENGV,Y ENGV,Y ENGV,Y ENGV,Y ENGV,Y ENGV,Y ENGV,Y ENGV,Y ENGV,Y ENGV,Y ENGV,Y ENGV,Y ENGV
CHEM,Chemistry,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS
CJ,Criminal Justice,Y BVC,Y BVC,Y BVC,Y BVC,Y BVC,Y BVC,Y BVC,Y BVC,Y BVC,Y BVC,Y BVC,Y BVC,Y BVC,Y BVC,Y BVC,Y BVC,Y BVC,Y BVC
CLAS,Classics,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS
CMGT,Communication Management,Y ANSC,Y ANSC,Y ANSC,Y ANSC,Y ANSC,Y ANSC,Y ANSC,Y ANSC,Y ANSC,Y ANSC,Y ANSC,Y ANSC,Y ANSC,Y ANSC,Y ANSC,Y ANSC,Y ANSC,Y ANSC
CMPP,Motion Picture Producing,Y CNMA,Y CNMA,Y CNMA,Y CNMA,Y CNMA,Y CNMA,Y CNMA,Y CNMA,Y CNMA,Y CNMA,Y CNMA,Y CNMA,Y CNMA,Y CNMA,Y CNMA,Y CNMA,Y CNMA,Y CNMA
CNB,Cell and Neurobiology,Y MEDK,Y MEDK,Y MEDK,Y MEDK,Y MEDK,Y MEDK,Y MEDK,Y MEDK,Y MEDK,Y MEDK,Y MEDK,Y MEDK,Y MEDK,Y MEDK,Y MEDK,Y MEDK,Y MEDK,Y MEDK
CNTV,Cinematic Arts,Y CNMA,Y CNMA,Y CNMA,Y CNMA,Y CNMA,Y CNMA,Y CNMA,Y CNMA,Y CNMA,Y CNMA,Y CNMA,Y CNMA,Y CNMA,Y CNMA,Y CNMA,Y CNMA,Y CNMA,Y CNMA
COH,Community Oral Health,Y DNTR,Y DNTR,Y DNTR,Y DNTR,Y DNTR,Y DNTR,Y DNTR,Y DNTR,Y DNTR,Y DNTR,Y DNTR,Y DNTR,Y DNTR,Y DNTR,Y DNTR,Y DNTR,Y DNTR,Y DNTR
COLT,Comparative Literature,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS
COMM,Communication,Y ANSC,Y ANSC,Y ANSC,Y ANSC,Y ANSC,Y ANSC,Y ANSC,Y ANSC,Y ANSC,Y ANSC,Y ANSC,Y ANSC,Y ANSC,Y ANSC,Y ANSC,Y ANSC,Y ANSC,Y ANSC
CORE,Thematic Option,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS
CRIT,Critical Studies,Y FINE,Y FINE,Y FINE,Y FINE,Y FINE,Y FINE,Y FINE,Y FINE,Y FINE,Y FINE,Y FINE,Y FINE,Y FINE,Y FINE,Y FINE,Y FINE,Y FINE,Y FINE
CSCI,Computer Science,Y ENGV,Y ENGV,Y ENGV,Y ENGV,Y ENGV,Y ENGV,Y ENGV,Y ENGV,Y ENGV,Y ENGV,Y ENGV,Y ENGV,Y ENGV,Y ENGV,Y ENGV,Y ENGV,Y ENGV,Y ENGV
CSLC,Comparative Studies in Literature and Culture,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS
CTAN,Animation,Y CNMA,Y CNMA,Y CNMA,Y CNMA,Y CNMA,Y CNMA,Y CNMA,Y CNMA,Y CNMA,Y CNMA,Y CNMA,Y CNMA,Y CNMA,Y CNMA,Y CNMA,Y CNMA,Y CNMA,Y CNMA
CTCS,Cinema and Media Studies,Y CNMA,Y CNMA,Y CNMA,Y CNMA,Y CNMA,Y CNMA,Y CNMA,Y CNMA,Y CNMA,Y CNMA,Y CNMA,Y CNMA,Y CNMA,Y CNMA,Y CNMA,Y CNMA,Y CNMA,Y CNMA
CTIN,Interactive Media,Y CNMA,Y CNMA,Y CNMA,Y CNMA,Y CNMA,Y CNMA,Y CNMA,Y CNMA,Y CNMA,Y CNMA,Y CNMA,Y CNMA,Y CNMA,Y CNMA,Y CNMA,Y CNMA,Y CNMA,Y CNMA
CTPR,Production,Y CNMA,Y CNMA,Y CNMA,Y CNMA,Y CNMA,Y CNMA,Y CNMA,Y CNMA,Y CNMA,Y CNMA,Y CNMA,Y CNMA,Y CNMA,Y CNMA,Y CNMA,Y CNMA,Y CNMA,Y CNMA
CTSE,"Curriculum, Teaching, and Special Education",Y EDCR,Y EDCR,Y EDCR,Y EDCR,Y EDCR,Y EDCR,Y EDCR,Y EDCR,Y EDCR,Y EDCR,Y EDCR,Y EDCR,Y EDCR,Y EDCR,Y EDCR,Y EDCR,Y EDCR,Y EDCR
CTWR,Writing,Y CNMA,Y CNMA,Y CNMA,Y CNMA,Y CNMA,Y CNMA,Y CNMA,Y CNMA,Y CNMA,Y CNMA,Y CNMA,Y CNMA,Y CNMA,Y CNMA,Y CNMA,Y CNMA,Y CNMA,Y CNMA
CTXA,Expanded Animation,,,,,,,Y CNMA,Y CNMA,Y CNMA,Y CNMA,Y CNMA,Y CNMA,Y CNMA,Y CNMA,Y CNMA,Y CNMA,Y CNMA,Y CNMA
CXPT,Clinical and Experimental Therapeutics,Y PHAR,Y PHAR,Y PHAR,Y PHAR,Y PHAR,Y PHAR,Y PHAR,Y PHAR,Y PHAR,Y PHAR,Y PHAR,Y PHAR,Y PHAR,Y PHAR,Y PHAR,Y PHAR,Y PHAR,Y PHAR
DANC,Dance,Y DNCR,Y DNCR,Y DNCR,Y DNCR,Y DNCR,Y DNCR,Y DNCR,Y DNCR,Y DNCR,Y DNCR,Y DNCR,Y DNCR,Y DNCR,Y DNCR,Y DNCR,Y DNCR,Y DNCR,Y DNCR
DBIO,Dental Biochemistry,Y DNTR,Y DNTR,Y DNTR,Y DNTR,Y DNTR,Y DNTR,Y DNTR,Y DNTR,Y DNTR,Y DNTR,Y DNTR,Y DNTR,Y DNTR,Y DNTR,Y DNTR,Y DNTR,Y DNTR,Y DNTR
DENT,Dentistry,Y DNTR,Y DNTR,Y DNTR,Y DNTR,Y DNTR,Y DNTR,Y DNTR,Y DNTR,Y DNTR,Y DNTR,Y DNTR,Y DNTR,Y DNTR,Y DNTR,Y DNTR,Y DNTR,Y DNTR,Y DNTR
DES,Design,Y FINE,Y FINE,Y FINE,Y FINE,Y FINE,Y FINE,Y FINE,Y FINE,Y FINE,Y FINE,Y FINE,Y FINE,Y FINE,Y FINE,Y FINE,Y FINE,Y FINE,Y FINE
DHIS,Dentistry History,Y DNTR,Y DNTR,Y DNTR,Y DNTR,Y DNTR,Y DNTR,Y DNTR,Y DNTR,Y DNTR,Y DNTR,Y DNTR,Y DNTR,Y DNTR,Y DNTR,Y DNTR,Y DNTR,Y DNTR,Y DNTR
DHYG,Dental Hygiene,Y DNTR,Y DNTR,Y DNTR,Y DNTR,Y DNTR,Y DNTR,Y DNTR,Y DNTR,Y DNTR,Y DNTR,Y DNTR,Y DNTR,Y DNTR,Y DNTR,Y DNTR,Y DNTR,Y DNTR,Y DNTR
DIAG,Oral Diagnosis And Radiology,Y DNTR,Y DNTR,Y DNTR,Y DNTR,Y DNTR,Y DNTR,Y DNTR,Y DNTR,Y DNTR,Y DNTR,Y DNTR,Y DNTR,Y DNTR,Y DNTR,Y DNTR,Y DNTR,Y DNTR,Y DNTR
DMM,Digital Media Management,,,,,,Y ANSC,Y ANSC,Y ANSC,Y ANSC,Y ANSC,Y ANSC,Y ANSC,Y ANSC,Y ANSC,Y ANSC,Y ANSC,Y ANSC,Y ANSC
DPBL,Dental Problem Based Learning,Y DNTR,Y DNTR,Y DNTR,Y DNTR,Y DNTR,Y DNTR,Y DNTR,Y DNTR,Y DNTR,Y DNTR,Y DNTR,Y DNTR,Y DNTR,Y DNTR,Y DNTR,Y DNTR,Y DNTR,Y DNTR
