Code,Name,20201,20202,20203,20211,20212,20213,20221,20222,20223,20231,20232,20233,20241,20242,20243,20251,20252,20253
PPDE,"Policy, Planning and Development - Expanded",Y PPDP,Y PPDP,Y PPDP,Y PPDP,Y PPDP,Y PPDP,Y PPDP,Y PPDP,Y PPDP,Y PPDP,Y PPDP,Y PPDP,Y PPDP,Y PPDP,Y PPDP,Y PPDP,Y PPDP,Y PPDP
PR,Public Relations,Y ANSC,Y ANSC,Y ANSC,Y ANSC,Y ANSC,Y ANSC,Y ANSC,Y ANSC,Y ANSC,Y ANSC,Y ANSC,Y ANSC,Y ANSC,Y ANSC,Y ANSC,Y ANSC,Y ANSC,Y ANSC
PRIN,Product Innovation,,,Y ACAD,Y ACAD,Y ACAD,Y ACAD,Y ACAD,Y ACAD,Y ACAD,Y ACAD,Y ACAD,Y ACAD,Y ACAD,Y ACAD,Y ACAD,Y ACAD,Y ACAD,Y ACAD
PRSM,"Public Relations Innovation, Strategy and Management",,,,,,,,,,,,Y ANSC,Y ANSC,Y ANSC,Y ANSC,Y ANSC,Y ANSC,Y ANSC
PSCI,Pharmaceutical Sciences,Y PHAR,Y PHAR,Y PHAR,Y PHAR,Y PHAR,Y PHAR,Y PHAR,Y PHAR,Y PHAR,Y PHAR,Y PHAR,Y PHAR,Y PHAR,Y PHAR,Y PHAR,Y PHAR,Y PHAR,Y PHAR
PSYC,Psychology,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS
PT,Physical Therapy,Y BKPT,Y BKPT,Y BKPT,Y BKPT,Y BKPT,Y BKPT,Y BKPT,Y BKPT,Y BKPT,Y BKPT,Y BKPT,Y BKPT,Y BKPT,Y BKPT,Y BKPT,Y BKPT,Y BKPT,Y BKPT
PTE,Petroleum Engineering,Y ENGV,Y ENGV,Y ENGV,Y ENGV,Y ENGV,Y ENGV,Y ENGV,Y ENGV,Y ENGV,Y ENGV,Y ENGV,Y ENGV,Y ENGV,Y ENGV,Y ENGV,Y ENGV,Y ENGV,Y ENGV
PTHL,PTHL,,,,,,,,,,,,,,Y DNTR,Y DNTR,,,
PUBD,Public Diplomacy,Y ANSC,Y ANSC,Y ANSC,Y ANSC,Y ANSC,Y ANSC,Y ANSC,Y ANSC,Y ANSC,Y ANSC,Y ANSC,Y ANSC,Y ANSC,Y ANSC,Y ANSC,Y ANSC,Y ANSC,Y ANSC
QBIO,Quantitative and Computational Biology,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS
RED,Real Estate Development,Y PPDP,Y PPDP,Y PPDP,Y PPDP,Y PPDP,Y PPDP,Y PPDP,Y PPDP,Y PPDP,Y PPDP,Y PPDP,Y PPDP,Y PPDP,Y PPDP,Y PPDP,Y PPDP,Y PPDP,Y PPDP
REL,Religion,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS
REST,Restorative Dentistry,,,,,,,,,,,,,,Y DNTR,Y DNTR,,,
RHET,Rhetoric,,,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS
RISK,Risk Management,,,,,,,,,,,,,,,Y BUS,Y BUS,,Y BUS
RNR,Registrar's Office,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS
ROBO,Robotics,,,Y ENGV,Y ENGV,Y ENGV,Y ENGV,Y ENGV,Y ENGV,Y ENGV,Y ENGV,Y ENGV,Y ENGV,Y ENGV,Y ENGV,Y ENGV,,Y ENGV,
RSCI,Regulatory Science,Y PHAR,Y PHAR,Y PHAR,Y PHAR,Y PHAR,Y PHAR,Y PHAR,Y PHAR,Y PHAR,Y PHAR,Y PHAR,Y PHAR,Y PHAR,Y PHAR,Y PHAR,Y PHAR,Y PHAR,Y PHAR
RUSS,Russian,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS
RXRS,Pharmaceutical and Regulatory Science,Y PHAR,Y PHAR,Y PHAR,Y PHAR,Y PHAR,Y PHAR,Y PHAR,Y PHAR,Y PHAR,Y PHAR,Y PHAR,Y PHAR,Y PHAR,Y PHAR,Y PHAR,Y PHAR,Y PHAR,Y PHAR
SAE,Systems Architecting and Engineering,Y ENGV,Y ENGV,Y ENGV,Y ENGV,Y ENGV,Y ENGV,Y ENGV,Y ENGV,Y ENGV,Y ENGV,Y ENGV,Y ENGV,Y ENGV,Y ENGV,Y ENGV,Y ENGV,Y ENGV,Y ENGV
SCDC,Dornsife in DC Program,,,,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS
SCOR,Screen Scoring,Y MUS,Y MUS,Y MUS,Y MUS,Y MUS,Y MUS,Y MUS,Y MUS,Y MUS,Y MUS,Y MUS,Y MUS,Y MUS,Y MUS,Y MUS,Y MUS,Y MUS,Y MUS
SCRM,Stem Cell Biology and Regenerative Medicine,Y MEDK,Y MEDK,Y MEDK,Y MEDK,Y MEDK,Y MEDK,Y MEDK,Y MEDK,Y MEDK,Y MEDK,Y MEDK,Y MEDK,Y MEDK,Y MEDK,Y MEDK,Y MEDK,Y MEDK,Y MEDK
SGY,Surgery,,,,,,,,,,,,,,,Y MEDK,,,
SLL,Slavic Languages and Literatures,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS
SMGT,Sustainability Management,,,,,,,,,,,,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS
SOCI,Sociology,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS
SOWK,Social Work,Y SWDP,Y SWDP,Y SWDP,Y SWDP,Y SWDP,Y SWDP,Y SWDP,Y SWDP,Y SWDP,Y SWDP,Y SWDP,Y SWDP,Y SWDP,,,,,
SPAN,Spanish,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS
SSCI,Spatial Sciences,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS
SSEM,Sophomore Seminar,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS
SURG,Oral Surgery,,,,,,,,,,,,,,Y DNTR,Y DNTR,,,
SWKC,On Campus and Hybrid Courses,,,,,,,,,,,,,,Y SWDP,Y SWDP,Y SWDP,Y SWDP,Y SWDP
SWKO,Virtual Academic Center,,,,,,,,,,,,,,Y SWDP,Y SWDP,Y SWDP,Y SWDP,Y SWDP
SWMS,Gender and Sexuality Studies,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS
TAC,Technology and Applied Computing,,,,,,,,,,,,,,,,,,Y ENGV
THTE,Dramatic Arts Expanded,,,Y DRAM,Y DRAM,Y DRAM,Y DRAM,Y DRAM,Y DRAM,Y DRAM,Y DRAM,Y DRAM,Y DRAM,Y DRAM,Y THTR,Y THTR,Y THTR,Y THTR,Y THTR
THTR,Dramatic Arts,Y DRAM,Y DRAM,Y DRAM,Y DRAM,Y DRAM,Y DRAM,Y DRAM,Y DRAM,Y DRAM,Y DRAM,Y DRAM,Y DRAM,Y DRAM,Y THTR,Y THTR,Y THTR,Y THTR,Y THTR
TRGN,Translational Genomics,Y MEDK,Y MEDK,Y MEDK,Y MEDK,Y MEDK,Y MEDK,Y MEDK,Y MEDK,Y MEDK,Y MEDK,Y MEDK,Y MEDK,Y MEDK,Y MEDK,Y MEDK,Y MEDK,Y MEDK,Y MEDK
UGST,Undergraduate Studies,,,,,,,,,,,,,,,,,,Y UGST
USC,University of Southern California,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS
VISS,Visual Studies,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS
WRIT,Writing,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS
